id,duration,timeLoss,depart,arrival,departLane
v13,55.00,19.87,37.00,92.00,E1_0
v37,58.00,23.14,36.00,94.00,E5_0
v38,55.00,19.90,39.00,94.00,E5_0
v16,48.00,12.94,46.00,94.00,E1_0
v65,52.00,13.63,60.00,112.00,E3_0
v66,49.00,10.04,63.00,112.00,E3_0
v90,50.00,11.50,63.00,113.00,E7_0
v89,53.00,14.07,60.00,113.00,E7_0
v67,48.00,9.43,66.00,114.00,E3_0
v68,45.00,6.26,69.00,114.00,E3_0
v92,46.00,7.50,69.00,115.00,E7_0
v91,49.00,10.06,66.00,115.00,E7_0
v69,44.00,4.99,72.00,116.00,E3_0
v93,44.00,5.84,72.00,116.00,E7_0
v70,43.00,4.11,75.00,118.00,E3_0
v94,43.00,4.66,75.00,118.00,E7_0
v71,44.00,5.16,77.00,121.00,E3_0
v95,43.00,4.50,78.00,121.00,E7_0
v72,44.00,5.38,80.00,124.00,E3_0
v96,43.00,4.59,81.00,124.00,E7_0
v15,95.00,60.38,43.00,138.00,E1_0
v49,79.00,43.96,60.00,139.00,E1_0
v51,74.00,39.68,66.00,140.00,E1_0
v40,95.00,60.17,45.00,140.00,E5_0
v39,98.00,62.96,42.00,140.00,E5_0
v50,77.00,42.67,63.00,140.00,E1_0
v53,70.00,35.36,72.00,142.00,E1_0
v74,79.00,44.09,63.00,142.00,E5_0
v73,82.00,46.93,60.00,142.00,E5_0
v52,73.00,38.37,69.00,142.00,E1_0
v55,66.00,31.24,78.00,144.00,E1_0
v76,75.00,40.11,69.00,144.00,E5_0
v75,78.00,42.86,66.00,144.00,E5_0
v54,69.00,34.69,75.00,144.00,E1_0
v57,62.00,27.24,84.00,146.00,E1_0
v78,71.00,35.97,75.00,146.00,E5_0
v77,74.00,38.94,72.00,146.00,E5_0
v56,65.00,30.57,81.00,146.00,E1_0
v80,66.00,31.72,81.00,147.00,E5_0
v59,58.00,23.17,90.00,148.00,E1_0
v79,71.00,35.86,77.00,148.00,E5_0
v58,61.00,26.32,87.00,148.00,E1_0
v82,62.00,27.57,87.00,149.00,E5_0
v81,65.00,30.71,84.00,149.00,E5_0
v61,54.00,19.44,96.00,150.00,E1_0
v60,57.00,22.21,93.00,150.00,E1_0
v84,58.00,23.30,93.00,151.00,E5_0
v83,62.00,26.80,90.00,152.00,E5_0
v86,55.00,20.02,99.00,154.00,E5_0
v114,44.00,5.48,123.00,167.00,E3_0
v115,43.00,4.54,126.00,169.00,E3_0
v113,50.00,11.04,120.00,170.00,E3_0
v138,47.00,8.15,123.00,170.00,E7_0
v137,51.00,12.11,120.00,171.00,E7_0
v116,43.00,4.59,129.00,172.00,E3_0
v139,46.00,7.11,126.00,172.00,E7_0
v140,44.00,5.25,129.00,173.00,E7_0
v117,43.00,4.07,132.00,175.00,E3_0
v141,44.00,5.09,132.00,176.00,E7_0
v142,43.00,4.79,135.00,178.00,E7_0
v118,44.00,5.46,135.00,179.00,E3_0
v119,43.00,4.78,138.00,181.00,E3_0
v143,44.00,4.89,138.00,182.00,E7_0
v62,98.00,63.67,99.00,197.00,E1_0
v63,96.00,61.25,102.00,198.00,E1_0
v88,94.00,59.52,105.00,199.00,E5_0
v85,103.00,68.25,96.00,199.00,E5_0
v64,96.00,61.08,104.00,200.00,E1_0
v97,80.00,44.82,120.00,200.00,E1_0
v87,99.00,64.09,102.00,201.00,E5_0
v99,76.00,40.99,126.00,202.00,E1_0
v121,82.00,46.86,120.00,202.00,E5_0
v98,79.00,43.85,123.00,202.00,E1_0
v123,77.00,42.61,126.00,203.00,E5_0
